time (sec),theta (rad)
33.64876409,-0.000723154
33.6821458,-0.000723154
33.71552751,-0.000723154
33.74890922,-0.000723154
33.78229093,-0.000723154
33.81567264,-0.000723154
33.84905435,-0.000723154
33.88243606,-0.000723154
33.91581777,-0.000901821
33.94919948,-0.000901821
33.98258119,-0.000901821
34.0159629,-0.000901821
34.04934461,-0.000901821
34.08272632,-0.000901821
34.11610803,-0.000901821
34.14948974,-0.000901821
34.18287145,-0.000901821
34.21625316,-0.000723154
34.24963487,-0.000723154
34.28301659,-0.000723154
34.3163983,-0.000723154
34.34978001,-0.000723154
34.38316172,-0.000723154
34.41654343,-0.000723154
34.44992514,-0.000723154
34.48330685,-0.000723154
34.51668856,-0.000723154
34.55007027,-0.000723154
34.58345198,-0.000723154
34.61683369,-0.000723154
34.6502154,-0.000723154
34.68359711,-0.000723154
34.71697882,-0.000723154
34.75036053,-0.000723154
34.78374224,-0.000723154
34.81712395,-0.000723154
34.85050566,-0.000723154
34.88388737,-0.000723154
34.91726908,-0.000723154
34.95065079,-0.000723154
34.9840325,-0.000723154
35.01741421,-0.000723154
35.05079592,-0.000723154
35.08417764,-0.000723154
35.11755935,-0.000723154
35.15094106,-0.000723154
35.18432277,-0.000723154
35.21770448,-0.000723154
35.25108619,-0.000901821
35.2844679,-0.000723154
35.31784961,-0.000723154
35.35123132,-0.000901821
35.38461303,-0.000723154
35.41799474,-0.000723154
35.45137645,-0.000723154
35.48475816,-0.000723154
35.51813987,-0.000723154
35.55152158,-0.000901821
35.58490329,-0.001080528
35.618285,-0.001616891
35.65166671,-0.002511637
35.68504842,-0.004124709
35.71843013,-0.006820333
35.75181184,-0.010428268
35.78519355,-0.015323493
35.81857526,-0.022992722
35.85195697,-0.030910635
35.88533868,-0.038519666
35.9187204,-0.045058843
35.95210211,-0.05069435
35.98548382,-0.05333352
36.01886553,-0.053144816
36.05224724,-0.04994137
36.08562895,-0.043747888
36.11901066,-0.036658617
36.15239237,-0.026115238
36.18577408,-0.012963054
36.21915579,0.003730259
36.2525375,0.016061052
36.28591921,0.027836617
36.31930092,0.039909809
36.35268263,0.043938296
36.38606434,0.048105916
36.41944605,0.0489359
36.45282776,0.047607358
36.48620947,0.043938296
36.51959118,0.037885516
36.55297289,0.028179846
36.5863546,0.01763125
36.61973631,0.007274431
36.65311802,-0.006640348
36.68649973,-0.020246239
36.71988144,-0.030725762
36.75326316,-0.041317367
36.78664487,-0.049000821
36.82002658,-0.052578882
36.85340829,-0.052578882
36.88679,-0.04937695
36.92017171,-0.044496817
36.95355342,-0.034800885
36.98693513,-0.025011991
37.02031684,-0.016415083
37.05369855,-0.004124709
37.08708026,0.006389949
37.12046197,0.016759352
37.15384368,0.025084324
37.18722539,0.030919183
37.2206071,0.034496924
37.25398881,0.035854569
37.28737052,0.035345796
37.32075223,0.032966069
37.35413394,0.028179846
37.38751565,0.021801158
37.42089736,0.013085572
37.45427907,0.003552615
37.48766078,-0.006820333
37.52104249,-0.016961386
37.5544242,-0.025931274
37.58780592,-0.033131798
37.62118763,-0.037961006
37.65456934,-0.039265005
37.68795105,-0.038333413
37.72133276,-0.034800885
37.75471447,-0.029063455
37.78809618,-0.023543
37.82147789,-0.014778207
37.8548596,-0.007000358
37.88824131,0.000704717
37.92162302,0.008687421
37.95500473,0.014837362
37.98838644,0.019024022
38.02176815,0.022320616
38.05514986,0.024221887
38.08853157,0.024394464
38.12191328,0.023012608
38.15529499,0.020066766
38.1886767,0.016235692
38.22205841,0.010977773
38.25544012,0.00461786
38.28882183,-0.001080528
38.32220354,-0.007540668
38.35558525,-0.013144398
38.38896697,-0.018419836
38.42234868,-0.022992722
38.45573039,-0.025011991
38.4891121,-0.025931274
38.52249381,-0.025747346
38.55587552,-0.024644528
38.58925723,-0.022076317
38.62263894,-0.018419836
38.65602065,-0.013870155
38.68940236,-0.00844197
38.72278407,-0.002869817
38.75616578,0.003019435
38.78954749,0.008510944
38.8229292,0.013260944
38.85631091,0.017108242
38.88969262,0.019024022
38.92307433,0.020066766
38.95645604,0.019545591
38.98983775,0.01763125
39.02321946,0.014487348
39.05660117,0.010273811
39.08998288,0.005858759
39.12336459,0.000526375
39.1567463,-0.005381556
39.19012801,-0.010609074
39.22350973,-0.015323493
39.25689144,-0.019332576
39.29027315,-0.02152691
39.32365486,-0.02244277
39.35703657,-0.02244277
39.39041828,-0.021160821
39.42379999,-0.018419836
39.4571817,-0.014959931
39.49056341,-0.011151723
39.52394512,-0.006460402
39.55732683,-0.00179576
39.59070854,0.002485884
39.62409025,0.006566929
39.65747196,0.009392906
39.69085367,0.011505299
39.72423538,0.012734699
39.75761709,0.012910157
39.7909988,0.012032441
39.82438051,0.010097715
39.85776222,0.007274431
39.89114393,0.00461786
39.92452564,0.001773908
39.95790735,-0.002153618
39.99128906,-0.005920801
40.02467077,-0.009344249
40.05805249,-0.012056908
40.0914342,-0.013688658
40.12481591,-0.014414872
40.15819762,-0.014233262
40.19157933,-0.01332578
40.22496104,-0.011694718
40.25834275,-0.009524822
40.29172446,-0.007000358
40.32510617,-0.004483609
40.35848788,-0.002332607
40.39186959,0.00016957
40.4252513,0.001951964
40.45863301,0.003552615
40.49201472,0.00461786
